DB,Concurrency,Param,Times
influxdb,1,1,23.08333333
influxdb,2,1,7.3
influxdb,3,1,7.666666667
influxdb,4,1,7.15
influxdb,5,1,7.1
influxdb,6,1,8.566666667
influxdb,7,1,7.128571429
influxdb,8,1,7.275
influxdb,9,1,8.1
influxdb,10,1,7.28
influxdb,15,1,8.38
influxdb,20,1,11.49
influxdb,25,1,17.476
influxdb,30,1,21.70333333
influxdb,35,1,44.18571429
influxdb,40,1,71.8025
influxdb,45,1,79.67777778
influxdb,50,1,80.872
influxdb,60,1,107.1233333
influxdb,70,1,125.94
influxdb,80,1,133.815
influxdb,90,1,144.7433333
influxdb,100,1,165.221
influxdb,110,1,152.8263636
influxdb,120,1,135.9433333
influxdb,130,1,137.7161538
influxdb,140,1,162.365
influxdb,150,1,214.8313333
influxdb,160,1,211.09
influxdb,1,2,6
influxdb,2,2,6.75
influxdb,3,2,7.566666667
influxdb,4,2,7.275
influxdb,5,2,7.02
influxdb,6,2,9.183333333
influxdb,7,2,7.671428571
influxdb,8,2,7.6
influxdb,9,2,8.077777778
influxdb,10,2,8.46
influxdb,15,2,8.46
influxdb,20,2,12.655
influxdb,25,2,15.736
influxdb,30,2,20.93333333
influxdb,35,2,49.43142857
influxdb,40,2,71.855
influxdb,45,2,73.84444444
influxdb,50,2,89.97
influxdb,60,2,100.6933333
influxdb,70,2,118.5671429
influxdb,80,2,131.60375
influxdb,90,2,146.4511111
influxdb,100,2,177.19
influxdb,110,2,160.7363636
influxdb,120,2,132.2325
influxdb,130,2,162.2415385
influxdb,140,2,177.3542857
influxdb,150,2,288.0726667
influxdb,160,2,188.766875
influxdb,1,3,6.1
influxdb,2,3,6.6
influxdb,3,3,8.533333333
influxdb,4,3,7.625
influxdb,5,3,8.88
influxdb,6,3,7.583333333
influxdb,7,3,7.157142857
influxdb,8,3,8.075
influxdb,9,3,8.255555556
influxdb,10,3,9.97
influxdb,15,3,7.886666667
influxdb,20,3,11.18
influxdb,25,3,15.424
influxdb,30,3,21.05666667
influxdb,35,3,47.97714286
influxdb,40,3,72.575
influxdb,45,3,73.73555556
influxdb,50,3,95.394
influxdb,60,3,101.5683333
influxdb,70,3,117.3614286
influxdb,80,3,129.8075
influxdb,90,3,155.2755556
influxdb,100,3,175.905
influxdb,110,3,162.7445455
influxdb,120,3,128.3583333
influxdb,130,3,129.7176923
influxdb,140,3,183.7635714
influxdb,150,3,181.6266667
influxdb,160,3,145.653125
influxdb,1,4,5.9
influxdb,2,4,6.9
influxdb,3,4,8.466666667
influxdb,4,4,7.425
influxdb,5,4,7.26
influxdb,6,4,7.4
influxdb,7,4,8.8
influxdb,8,4,7.375
influxdb,9,4,7.877777778
influxdb,10,4,9.45
influxdb,15,4,9.946666667
influxdb,20,4,12.22
influxdb,25,4,16.268
influxdb,30,4,21.39
influxdb,35,4,59.87142857
influxdb,40,4,74.53
influxdb,45,4,76.47777778
influxdb,50,4,86.046
influxdb,60,4,101.53
influxdb,70,4,116.7914286
influxdb,80,4,133.37875
influxdb,90,4,157.2244444
influxdb,100,4,167.459
influxdb,110,4,156.8163636
influxdb,120,4,121.7191667
influxdb,130,4,151.2
